date,category,activity,amount,unit,region,purpose,offset,emissions_kg,emissions_per_unit,notes,energy_kcal
2025-03-02,goods,clothing,148.01,kg,Brazil,disposal,Yes,444.03,3.0,solar usage,3108210.0
2025-02-23,energy,solar_power,472.77,kWh,USA,travel,Yes,4.73,0.01,short haul flight,33110.0
2025-07-22,transportation,bus,141.07,km,Germany,travel,Yes,13.61,0.0965,grocery run,95270.0
2025-03-17,transportation,flight,109.87,km,Australia,disposal,No,16.48,0.15,summer cooling,115360.0
2025-06-24,energy,solar_power,273.71,kWh,Germany,purchase,No,2.74,0.01,solar usage,19180.0
2025-05-26,energy,heating_oil,218.48,kg,India,leisure,No,585.53,2.68,solar usage,4098710.0
2025-06-29,transportation,bus,266.47,km,Brazil,purchase,No,25.71,0.0965,office recycling,179970.0
2025-07-19,goods,electronics,186.87,kg,Germany,purchase,Yes,1868.7,10.0,new device,13080900.0
2025-04-10,transportation,bike,231.6,km,Australia,home use,No,2.32,0.01,office recycling,16240.0
2025-03-02,water,tap_water,265.2,liters,India,disposal,Yes,0.08,0.0003,short haul flight,560.0
2025-07-08,transportation,train,185.47,km,Australia,disposal,Yes,2.6,0.014,new device,18200.0
2025-07-23,goods,clothing,397.1,kg,Germany,purchase,Yes,1191.3,3.0,office recycling,8339100.0
2025-03-26,goods,clothing,82.52,kg,USA,disposal,No,247.56,3.0,office recycling,1732920.0
2025-02-22,water,bottled_water,35.15,liters,Germany,work,No,3.52,0.1001,new device,24640.0
2025-07-07,waste,paper,53.47,kg,India,work,No,96.25,1.8001,grocery run,673750.0
2025-06-11,goods,clothing,139.52,kg,USA,work,Yes,418.56,3.0,summer cooling,2929920.0
2025-06-26,transportation,flight,496.73,km,Germany,disposal,Yes,74.51,0.15,solar usage,521570.0
2025-02-17,waste,plastic,268.72,kg,India,work,Yes,1612.32,6.0,morning commute,11286240.0
2025-04-11,transportation,bus,435.58,km,India,work,No,42.03,0.0965,summer cooling,294210.0
2025-03-09,transportation,bike,6.31,km,USA,travel,Yes,0.06,0.0095,morning commute,420.0
2025-05-11,energy,heating_oil,91.96,kg,Brazil,travel,No,246.45,2.68,grocery run,1725150.0
2025-01-29,water,tap_water,219.92,liters,India,commute,Yes,0.07,0.0003,morning commute,490.0
